player_id;name_first;name_last;hand;dob;ioc;ioc_nation;height;wikidata_id
100001;Gardnar;Mulloy;R;19131122;USA;United States of America;185;Q54544
100002;Pancho;Segura;R;19210620;ECU;Ecuador;168;Q54581
100003;Frank;Sedgman;R;19271002;AUS;Australia;180;Q962049
100004;Giuseppe;Merlo;R;19271011;ITA;Italy;;Q1258752
100005;Richard;Gonzalez;R;19280509;USA;United States of America;188;Q53554
100006;Grant;Golden;R;19290821;USA;United States of America;175;Q3115390
100007;Abe;Segal;L;19301023;RSA;South Africa;;Q1258527
100008;Kurt;Nielsen;R;19301119;DEN;Denmark;;Q552261
100009;Istvan;Gulyas;R;19311014;HUN;Hungary;;Q51066
100010;Luis;Ayala;R;19320918;CHI;Chile;170;Q1275397
100011;Torben;Ulrich;L;19281004;DEN;Denmark;180;Q785404
100012;Nicola;Pietrangeli;R;19330911;ITA;Italy;178;Q709909
100013;Neale;Fraser;L;19331003;AUS;Australia;185;Q715173
100014;Trevor;Fancutt;R;19340714;RSA;South Africa;;Q3538577
100015;Sammy;Giammalva;R;19340801;USA;United States of America;180;Q963700
100016;Ken;Rosewall;R;19341102;AUS;Australia;175;Q312728
100017;Mal;Anderson;R;19350303;AUS;Australia;;Q963687
100018;Barry;Mackay;R;19350831;USA;United States of America;190;Q1258939
100019;Wieslaw;Gasiorek;R;19360113;POL;Poland;;Q1258736
100020;Alejandro;Olmedo;R;19360324;PER;Peru;178;Q734544
100021;Ashley;Cooper;R;19360915;AUS;Australia;178;Q712208
100022;Roy;Emerson;R;19361103;AUS;Australia;183;Q312545
100023;Ramanathan;Krishnan;R;19370411;IND;India;;Q1559952
100024;Jan Erik;Lundquist;R;19370414;SWE;Sweden;191;Q1341605
100025;Barry;Phillips Moore;R;19370709;AUS;Australia;173;Q1563886
100026;Andres;Gimeno;R;19370803;ESP;Spain;185;Q315958
100027;Gene;Scott;R;19371228;USA;United States of America;185;Q1282493
100028;Manuel;Santana;R;19380510;ESP;Spain;170;Q445602
100029;Rod;Laver;L;19380809;AUS;Australia;173;Q105550
100030;Fred;Stolle;R;19381008;AUS;Australia;190;Q54671
100031;Dimitri;Sturdza;R;19381110;SUI;Switzerland;;Q20431255
100032;Patricio;Rodriguez Chi;R;19381220;CHI;Chile;188;Q7145979
100033;Wilhelm;Bungert;R;19390401;GER;Germany;188;Q77579
100034;Christian;Kuhnke;L;19390413;GER;Germany;;Q461558
100035;Ion;Tiriac;R;19390509;ROU;Romania;185;Q924245
100036;Rudy;Hernando;R;19390610;USA;United States of America;;
100037;Nikola;Pilic;L;19390827;CRO;Croatia;191;Q452365
100038;Jaime;Pinto Bravo;R;19391009;CHI;Chile;178;Q18390167
100039;Boro;Jovanovic;R;19391021;CRO;Croatia;;Q1259703
100040;Bob;Hewitt;R;19400112;RSA;South Africa;190;Q52453
100041;Ned;Neely;R;19400114;USA;United States of America;;
100042;Ryoichi;Mori;R;19400114;JPN;Japan;;
100043;Zdenek;Slizek;R;19400219;CZE;Czechia;;
100044;Sergei;Likhachev;R;19400320;RUS;Russia;;Q3479599
100045;John;Paish;L;19400323;GBR;Great Britain;;Q13512828
100046;Larry;Nagler;R;19400701;USA;United States of America;;
100047;Bob;Carmichael;R;19400704;AUS;Australia;183;Q1565064
100048;Earl Butch;Buchholz;R;19400916;USA;United States of America;188;Q195386
100049;Jim;Mcmanus;L;19400916;USA;United States of America;175;Q12957721
100050;Martin;Mulligan;R;19401018;AUS;Australia;;Q1291938
100051;Premjit;Lall;R;19401020;IND;India;;Q1268979
100052;Keishiro;Yanagi;R;19410224;JPN;Japan;;Q87798987
100053;Colin;Stubs;R;19410227;AUS;Australia;;
100054;Jose Edison;Mandarino;R;19410326;BRA;Brazil;173;
100055;Cliff;Drysdale;R;19410526;RSA;South Africa;188;Q582003
100056;Harald;Elschenbroich;R;19410619;GER;Germany;;Q5653740
100057;Pierre;Barthes;R;19410913;FRA;France;;Q1558013
100058;Roger;Taylor;L;19411014;GBR;Great Britain;183;Q1282421
100059;Isao;Watanabe;R;19411123;JPN;Japan;;Q87795355
100060;Marty;Riessen;R;19411204;USA;United States of America;185;Q1289530
100061;Tom;Edlefsen;R;19411212;USA;United States of America;188;Q7815700
100062;Francois;Jauffret;R;19420209;FRA;France;180;Q1260078
100063;Billy;Higgins;R;19420402;USA;United States of America;;
100064;Juan;Gisbert;R;19420405;ESP;Spain;;Q1290022
100065;Terry;Ryan;R;19420427;RSA;South Africa;;Q23020633
100066;Frank;Froehling;R;19420519;USA;United States of America;190;Q3082619
100067;Frew;Mcmillan;R;19420520;RSA;South Africa;183;Q962512
100068;Herb;Fitzgibbon;R;19420714;USA;United States of America;;Q1565884
100069;Dennis;Ralston;R;19420727;USA;United States of America;188;Q1189457
100070;Jan;Kukal;R;19420913;CZE;Czechia;;Q1258763
100071;Jean Claude;Barclay;R;19421230;FRA;France;;Q1561962
100072;Bailey;Brown;R;19430615;USA;United States of America;;
100073;Mark;Cox;L;19430705;GBR;Great Britain;185;Q1565058
100074;Arthur;Ashe;R;19430710;USA;United States of America;185;Q53325
100075;Owen;Davidson;L;19431004;AUS;Australia;185;Q976174
100076;Milan;Holecek;R;19431023;CZE;Czechia;190;Q1563971
100077;Daniel;Contet;R;19431103;FRA;France;;Q1563980
100078;Clark;Graebner;R;19431104;USA;United States of America;188;Q1269127
100079;Bill;Bowrey;R;19431225;AUS;Australia;;Q577531
100080;Szabolcz;Baranyi;R;19440131;HUN;Hungary;;Q13512888
100081;Charlie;Pasarell;R;19440212;USA;United States of America;185;Q1269243
100082;Roger;Dowdeswell;R;19440216;ZIM;Zimbabwe;;Q7358114
100083;Nicola;Spear;R;19440222;SRB;Serbia;;Q1258505
100084;Tom;Okker;R;19440222;NED;Netherlands;178;Q455411
100085;Hans Joachim;Ploetz;R;19440226;GER;Germany;;
100086;Frantisek;Pala;L;19440328;CZE;Czechia;;Q323289
100087;John;Newcombe;R;19440523;AUS;Australia;183;Q312464
100088;Patricio;Cornejo;R;19440606;CHI;Chile;180;Q1271345
100089;Patrice;Beust;R;19440903;FRA;France;170;Q3368873
100090;Dick;Crealy;R;19440918;AUS;Australia;191;Q962839
100091;Colin;Dibley;R;19440919;AUS;Australia;188;Q390839
100092;Alex;Metreveli;R;19441102;RUS;Russia;;Q465796
100093;William;Brown;R;19450114;USA;United States of America;;Q13512796
100094;Jim;Osborne;R;19450201;USA;United States of America;185;Q1562015
100095;Tony;Bardsley;R;19450209;CAN;Canada;;Q7821830
100096;Peter;Burwash;R;19450210;CAN;Canada;175;Q7173087
100097;Nicholas;Kalogeropoulos;R;19450218;GRE;Greece;;Q3339850
100098;Ove Nils;Bengtson;R;19450405;SWE;Sweden;196;Q374309
100099;Thomaz;Koch;L;19450511;BRA;Brazil;;Q1281836
100100;Tony;Roche;L;19450517;AUS;Australia;178;Q710119
100101;Mike;Belkin;R;19450629;CAN;Canada;;Q1563966
100102;Joaquin Loyo;Mayo;R;19450816;MEX;Mexico;;Q1565143
100103;Peter;Curtis;R;19450829;GBR;Great Britain;;Q3376525
100104;Richard;Russell;R;19450908;JAM;Jamaica;;
100105;Allan;Stone;R;19451014;AUS;Australia;;Q1260060
100106;Graham;Stilwell;R;19451115;GBR;Great Britain;173;Q5593283
100107;Robert;Rheinberger;R;19451118;AUS;Australia;;
100108;Chris;Bovett;R;19451225;GBR;Great Britain;;
100109;Jun;Kuki;R;19451228;JPN;Japan;;Q16267024
100110;Terry;Addison;R;19460111;AUS;Australia;180;Q13848246
100111;Ray;Keldie;R;19460117;AUS;Australia;;Q7297691
100112;John;Clifton;R;19460219;GBR;Great Britain;;Q6226389
100113;Jan;Kodes;R;19460301;CZE;Czechia;175;Q317431
100114;Ray;Ruffels;R;19460323;AUS;Australia;;Q1258947
100115;Jaime;Fillol;R;19460603;CHI;Chile;180;Q1258592
100116;Sherwood;Stewart;R;19460606;USA;United States of America;188;Q984213
100117;Butch;Seewagen;R;19460613;USA;United States of America;188;Q18030909
100118;Ivan;Molina;L;19460616;COL;Colombia;;Q1281826
100119;Ilie;Nastase;R;19460719;ROU;Romania;183;Q106113
100120;Robert;Maud;R;19460812;RSA;South Africa;180;Q1565123
100121;Raymond;Moore;R;19460824;RSA;South Africa;183;Q1563090
100122;Julian;Ganzabal;R;19460825;ARG;Argentina;;Q22004451
100123;Patrick;Hombergen;R;19460908;BEL;Belgium;;Q23023184
100124;Steve;Turner;R;19461017;USA;United States of America;;
