tourney_id,tourney_name,tourney_location,surface,draw_size,tourney_level,tourney_date
2020-6932,ATP Rio de Janeiro,Rio de Janeiro,Clay,32,A,20200217
2015-807,Acapulco,Acapulco,Hard,32,A,20150223
2002-807,Acapulco,Acapulco,Clay,32,A,20020225
2005-807,Acapulco,Acapulco,Clay,32,A,20050221
2021-0807,Acapulco,Acapulco,Hard,32,A,20210315
2017-M004,Acapulco,Acapulco,Hard,32,A,20170227
2008-807,Acapulco,Acapulco,Clay,32,A,20080225
2001-807,Acapulco,Acapulco,Clay,32,A,20010226
2022-0807,Acapulco,Acapulco,Hard,32,A,20220221
2020-M004,Acapulco,Acapulco,Hard,32,A,20200224
2006-807,Acapulco,Acapulco,Clay,32,A,20060227
2014-807,Acapulco,Acapulco,Hard,32,A,20140224
2007-807,Acapulco,Acapulco,Clay,32,A,20070226
2018-M004,Acapulco,Acapulco,Hard,32,A,20180226
2012-807,Acapulco,Acapulco,Clay,32,A,20120227
2016-M004,Acapulco,Acapulco,Hard,32,A,20160222
2003-807,Acapulco,Acapulco,Clay,32,A,20030224
2019-M004,Acapulco,Acapulco,Hard,32,A,20190225
2010-807,Acapulco,Acapulco,Clay,32,A,20100222
2009-807,Acapulco,Acapulco,Clay,32,A,20090223
2011-807,Acapulco,Acapulco,Clay,32,A,20110221
2004-807,Acapulco,Acapulco,Clay,32,A,20040301
2013-807,Acapulco,Acapulco,Clay,32,A,20130225
1974-9213,Acapulco,Acapulco,Carpet,16,A,19740501
1988-339,Adelaide,Adelaide,Hard,32,A,19871228
1979-339,Adelaide,Adelaide,Grass,32,A,19791210
2007-339,Adelaide,Adelaide,Hard,32,A,20070101
1977-7308,Adelaide,Adelaide,Grass,64,A,19770110
1996-339,Adelaide,Adelaide,Hard,32,A,19960101
1983-339,Adelaide,Adelaide,Grass,32,A,19831219
2020-M056,Adelaide,Adelaide,Hard,32,A,20200113
1970-7308,Adelaide,Adelaide,Grass,64,A,19701219
1968-7308,Adelaide,Adelaide,Grass,64,A,19681123
1981-339,Adelaide,Adelaide,Grass,32,A,19810105
2008-339,Adelaide,Adelaide,Hard,32,A,20071231
2002-339,Adelaide,Adelaide,Hard,32,A,20011231
1997-339,Adelaide,Adelaide,Hard,32,A,19961230
1984-339,Adelaide,Adelaide,Grass,32,A,19841217
1982-339,Adelaide,Adelaide,Grass,32,A,19821220
1995-339,Adelaide,Adelaide,Hard,32,A,19950102
2001-339,Adelaide,Adelaide,Hard,32,A,20010101
1987-339,Adelaide,Adelaide,Grass,32,A,19861230
1985-339,Adelaide,Adelaide,Grass,32,A,19851216
1998-339,Adelaide,Adelaide,Hard,32,A,19980105
2000-339,Adelaide,Adelaide,Hard,32,A,20000103
2005-339,Adelaide,Adelaide,Hard,32,A,20050103
1999-339,Adelaide,Adelaide,Hard,32,A,19990104
1990-339,Adelaide,Adelaide,Hard,32,A,19900101
1991-339,Adelaide,Adelaide,Hard,32,A,19901231
2003-339,Adelaide,Adelaide,Hard,32,A,20021230
2004-339,Adelaide,Adelaide,Hard,32,A,20040105
1973-7308,Adelaide,Adelaide,Grass,64,A,19731119
1993-339,Adelaide,Adelaide,Hard,32,A,19930104
1974-7308,Adelaide,Adelaide,Grass,32,A,19741202
1992-339,Adelaide,Adelaide,Hard,32,A,19911230
1994-339,Adelaide,Adelaide,Hard,32,A,19940103
1972-7308,Adelaide,Adelaide,Grass,64,A,19720117
1989-339,Adelaide,Adelaide,Hard,32,A,19890102
2006-339,Adelaide,Adelaide,Hard,32,A,20060102
1977-2013,Adelaide,Adelaide,Grass,64,A,19771205
2022-8998,Adelaide 1,Adelaide,Hard,32,A,20220103
2022-9667,Adelaide 2,Adelaide,Hard,32,A,20220110
1982-393,Adelaide-2,Adelaide,Grass,32,A,19820104
