tourney_id,tourney_name,tourney_location,surface,draw_size,tourney_level,tourney_date,latitude,longitude
2020-6932,ATP Rio de Janeiro,Rio de Janeiro,Clay,32,A,20200217,-22.911014,-43.209373
2015-807,Acapulco,Acapulco,Hard,32,A,20150223,16.86805,-99.894018
2002-807,Acapulco,Acapulco,Clay,32,A,20020225,16.86805,-99.894018
2005-807,Acapulco,Acapulco,Clay,32,A,20050221,16.86805,-99.894018
2021-0807,Acapulco,Acapulco,Hard,32,A,20210315,16.86805,-99.894018
2017-M004,Acapulco,Acapulco,Hard,32,A,20170227,16.86805,-99.894018
2008-807,Acapulco,Acapulco,Clay,32,A,20080225,16.86805,-99.894018
2001-807,Acapulco,Acapulco,Clay,32,A,20010226,16.86805,-99.894018
2022-0807,Acapulco,Acapulco,Hard,32,A,20220221,16.86805,-99.894018
2020-M004,Acapulco,Acapulco,Hard,32,A,20200224,16.86805,-99.894018
2006-807,Acapulco,Acapulco,Clay,32,A,20060227,16.86805,-99.894018
2014-807,Acapulco,Acapulco,Hard,32,A,20140224,16.86805,-99.894018
2007-807,Acapulco,Acapulco,Clay,32,A,20070226,16.86805,-99.894018
2018-M004,Acapulco,Acapulco,Hard,32,A,20180226,16.86805,-99.894018
2012-807,Acapulco,Acapulco,Clay,32,A,20120227,16.86805,-99.894018
2016-M004,Acapulco,Acapulco,Hard,32,A,20160222,16.86805,-99.894018
2003-807,Acapulco,Acapulco,Clay,32,A,20030224,16.86805,-99.894018
2019-M004,Acapulco,Acapulco,Hard,32,A,20190225,16.86805,-99.894018
2010-807,Acapulco,Acapulco,Clay,32,A,20100222,16.86805,-99.894018
2009-807,Acapulco,Acapulco,Clay,32,A,20090223,16.86805,-99.894018
2011-807,Acapulco,Acapulco,Clay,32,A,20110221,16.86805,-99.894018
2004-807,Acapulco,Acapulco,Clay,32,A,20040301,16.86805,-99.894018
2013-807,Acapulco,Acapulco,Clay,32,A,20130225,16.86805,-99.894018
1974-9213,Acapulco,Acapulco,Carpet,16,A,19740501,16.86805,-99.894018
1988-339,Adelaide,Adelaide,Hard,32,A,19871228,-34.92818,138.599931
1979-339,Adelaide,Adelaide,Grass,32,A,19791210,-34.92818,138.599931
2007-339,Adelaide,Adelaide,Hard,32,A,20070101,-34.92818,138.599931
1977-7308,Adelaide,Adelaide,Grass,64,A,19770110,-34.92818,138.599931
1996-339,Adelaide,Adelaide,Hard,32,A,19960101,-34.92818,138.599931
1983-339,Adelaide,Adelaide,Grass,32,A,19831219,-34.92818,138.599931
2020-M056,Adelaide,Adelaide,Hard,32,A,20200113,-34.92818,138.599931
1970-7308,Adelaide,Adelaide,Grass,64,A,19701219,-34.92818,138.599931
1968-7308,Adelaide,Adelaide,Grass,64,A,19681123,-34.92818,138.599931
1981-339,Adelaide,Adelaide,Grass,32,A,19810105,-34.92818,138.599931
2008-339,Adelaide,Adelaide,Hard,32,A,20071231,-34.92818,138.599931
2002-339,Adelaide,Adelaide,Hard,32,A,20011231,-34.92818,138.599931
1997-339,Adelaide,Adelaide,Hard,32,A,19961230,-34.92818,138.599931
1984-339,Adelaide,Adelaide,Grass,32,A,19841217,-34.92818,138.599931
1982-339,Adelaide,Adelaide,Grass,32,A,19821220,-34.92818,138.599931
1995-339,Adelaide,Adelaide,Hard,32,A,19950102,-34.92818,138.599931
2001-339,Adelaide,Adelaide,Hard,32,A,20010101,-34.92818,138.599931
1987-339,Adelaide,Adelaide,Grass,32,A,19861230,-34.92818,138.599931
1985-339,Adelaide,Adelaide,Grass,32,A,19851216,-34.92818,138.599931
1998-339,Adelaide,Adelaide,Hard,32,A,19980105,-34.92818,138.599931
2000-339,Adelaide,Adelaide,Hard,32,A,20000103,-34.92818,138.599931
2005-339,Adelaide,Adelaide,Hard,32,A,20050103,-34.92818,138.599931
1999-339,Adelaide,Adelaide,Hard,32,A,19990104,-34.92818,138.599931
1990-339,Adelaide,Adelaide,Hard,32,A,19900101,-34.92818,138.599931
1991-339,Adelaide,Adelaide,Hard,32,A,19901231,-34.92818,138.599931
2003-339,Adelaide,Adelaide,Hard,32,A,20021230,-34.92818,138.599931
2004-339,Adelaide,Adelaide,Hard,32,A,20040105,-34.92818,138.599931
1973-7308,Adelaide,Adelaide,Grass,64,A,19731119,-34.92818,138.599931
1993-339,Adelaide,Adelaide,Hard,32,A,19930104,-34.92818,138.599931
1974-7308,Adelaide,Adelaide,Grass,32,A,19741202,-34.92818,138.599931
1992-339,Adelaide,Adelaide,Hard,32,A,19911230,-34.92818,138.599931
1994-339,Adelaide,Adelaide,Hard,32,A,19940103,-34.92818,138.599931
1972-7308,Adelaide,Adelaide,Grass,64,A,19720117,-34.92818,138.599931
1989-339,Adelaide,Adelaide,Hard,32,A,19890102,-34.92818,138.599931
2006-339,Adelaide,Adelaide,Hard,32,A,20060102,-34.92818,138.599931
1977-2013,Adelaide,Adelaide,Grass,64,A,19771205,-34.92818,138.599931
2022-8998,Adelaide 1,Adelaide,Hard,32,A,20220103,-34.92818,138.599931
2022-9667,Adelaide 2,Adelaide,Hard,32,A,20220110,-34.92818,138.599931
1982-393,Adelaide-2,Adelaide,Grass,32,A,19820104,-34.92818,138.599931
1972-2013,Adelaide-2,Adelaide,Grass,64,A,19721211,-34.92818,138.599931
1984-342,Aix en Provence,Aix en Provence,Clay,32,A,19840423,43.529842,5.447474
1978-342,Aix en Provence,Aix en Provence,Clay,32,A,19780925,43.529842,5.447474
1983-342,Aix en Provence,Aix en Provence,Clay,32,A,19830411,43.529842,5.447474
1977-342,Aix en Provence,Aix en Provence,Clay,32,A,19770926,43.529842,5.447474
1969-342,Aix-en-Provence,Aix en Provence,Clay,64,A,19690714,43.529842,5.447474
1972-2053,Alamo WCT,Alamo,,32,A,19721001,32.839926000000006,-105.9922735
1972-424,Albany,Albany,Carpet,64,A,19720925,42.651167,-73.754968
1975-9207,Algiers,Algiers,Clay,32,A,19750217,36.7753606,3.0601882
2004-317,Amersfoort,Amersfoort,Clay,32,A,20040712,52.15625,5.389694
